date,opponent,sp,k,e,ta,pct,ast,sa,se,re,dig,bs,ba,be,tb,bhe,pts,year
8/22/2024,vs Spring Arbor (MI),4,47,13,136,0.25,43,10,13,3,66,3,14,1,10,0,67,2024
8/22/2024,vs Indiana Northwest,5,51,27,189,0.127,47,7,21,10,106,3,8,2,7,0,65,2024
8/23/2024,Indiana East,3,29,20,106,0.085,29,2,2,2,48,2,8,1,6,0,37,2024
8/30/2024,vs Spring Arbor (MI),4,44,27,168,0.101,42,5,3,5,73,1,4,0,3,0,52,2024
8/31/2024,vs Bethel (IN),5,57,32,154,0.162,54,10,13,5,50,0,18,0,9,0,76,2024
8/31/2024,vs Trinity Christian (IL),3,39,17,99,0.222,37,7,4,2,42,0,8,0,4,0,50,2024
9/4/2024,at Rochester Christian,3,41,12,115,0.252,41,5,13,1,53,0,8,3,4,0,50,2024
9/11/2024,at Lourdes,3,43,14,124,0.234,43,3,4,5,61,2,6,1,5,0,51,2024
9/13/2024,at Defiance College (OH,5,51,25,137,0.19,40,9,8,10,46,3,8,3,7,0,67,2024
9/18/2024,Siena Heights,5,63,21,193,0.218,60,4,10,9,89,1,22,0,12,1,79,2024
9/20/2024,Concordia Uni.,3,40,16,112,0.214,36,7,4,6,53,0,13,0,6.5,0,53,2024
9/25/2024,at Madonna,5,51,19,149,0.215,46,4,5,12,75,3,8,0,7,0,62,2024
9/28/2024,Michigan-Dearborn,3,38,10,99,0.283,37,9,8,1,48,1,18,0,10,0,57,2024
10/2/2024,Cornerstone,5,52,22,173,0.173,48,8,9,8,66,1,24,0,13,0,73,2024
10/9/2024,Rochester Christian,4,50,18,133,0.241,44,3,5,7,64,2,16,0,10,1,63,2024
10/12/2024,at Aquinas (MI),3,24,25,96,-0.01,24,8,6,12,39,3,10,0,8,0,40,2024
10/18/2024,Indiana Tech,4,43,29,164,0.085,41,7,8,9,73,2,8,0,6,1,56,2024
10/19/2024,Northwestern Ohio,4,55,20,152,0.23,48,8,8,8,76,4,10,0,9,1,72,2024
10/25/2024,at Siena Heights,3,34,23,132,0.083,32,1,4,8,67,0,16,0,8,0,43,2024
10/26/2024,at Concordia (MI),3,42,16,135,0.193,41,12,2,4,81,2,6,0,5,1,59,2024
10/30/2024,Madonna Univ,5,55,30,180,0.139,50,12,7,10,80,3,12,0,9,1,76,2024
11/1/2024,at UM-Dearborn,4,40,17,148,0.155,40,5,7,7,59,2,16,0,10,0,55,2024
11/6/2024,at Cornerstone (MI),4,44,24,167,0.12,43,6,3,9,85,5,14,0,12,0,62,2024
11/8/2024,Aquinas College,3,31,16,93,0.161,29,3,5,16,36,1,4,0,3,0,37,2024
11/13/2024,at Cornerstone (MI),5,62,21,183,0.224,57,2,5,6,91,3,20,0,13,0,77,2024
11/15/2024,at Aquinas (MI),3,27,16,96,0.115,25,2,4,11,41,1,4,0,3,1,32,2024
