date,opponent,w/l,sp,k,e,ta,pct,ast,sa,se,re,dig,bs,ba,be,tb,bhe,pts,year,k_per_sp,e_per_sp,pts_per_sp,ast_to_e,sa_minus_se,total_blocks
8/18/2023,vs Grace,0,4,38,32,148,0.041,37,6,10,9,57,0,16,5,8.0,0,52.0,2023,9.5,8.0,13.0,1.1562496386719878,-4,16
8/18/2023,vs Bethel,0,3,38,20,124,0.145,38,5,5,8,53,0,12,1,6.0,1,49.0,2023,12.666666666666666,6.666666666666667,16.333333333333332,1.899999050000475,0,12
8/19/2023,vs Indiana South Bend,1,3,41,9,106,0.302,33,8,3,2,48,0,16,0,8.0,0,57.0,2023,13.666666666666666,3.0,19.0,3.6666625925971195,5,16
8/19/2023,vs Indiana Northwest,1,3,38,29,122,0.074,35,7,6,2,60,0,12,1,6.0,0,51.0,2023,12.666666666666666,9.666666666666666,17.0,1.2068961355530567,1,12
9/6/2023,at Cornerstone (MI),0,3,21,20,107,0.009,21,2,4,6,52,2,8,1,6.0,0,29.0,2023,7.0,6.666666666666667,9.666666666666666,1.0499994750002626,-2,10
9/13/2023,Michigan-Dearborn,0,5,48,23,156,0.16,42,14,5,10,50,2,16,0,10.0,0,72.0,2023,9.6,4.6,14.4,1.8260861625712337,9,18
9/15/2023,Rochester University,1,3,47,14,107,0.308,45,5,8,1,54,1,10,0,6.0,2,58.0,2023,15.666666666666666,4.666666666666667,19.333333333333332,3.214283418368987,-3,11
9/16/2023,at Concordia (MI),1,5,69,21,193,0.249,63,8,5,13,90,1,16,0,9.0,1,86.0,2023,13.8,4.2,17.2,2.9999985714292516,3,17
9/20/2023,at Madonna,0,4,42,22,149,0.134,40,10,9,8,71,1,18,0,10.0,2,62.0,2023,10.5,5.5,15.5,1.8181809917359129,1,19
9/22/2023,Siena Heights,0,4,41,20,161,0.13,35,7,15,9,71,4,14,0,11.0,2,59.0,2023,10.25,5.0,14.75,1.7499991250004376,-8,18
9/27/2023,at Lourdes,1,5,49,22,174,0.155,48,14,7,5,85,0,16,2,8.0,4,71.0,2023,9.8,4.4,14.2,2.1818171900830956,7,16
9/29/2023,at Indiana Tech,0,4,42,24,165,0.109,42,3,14,5,70,1,12,0,7.0,0,52.0,2023,10.5,6.0,13.0,1.7499992708336372,-11,13
9/30/2023,at University of Northwestern Ohio,1,4,55,19,141,0.255,52,6,5,8,62,4,12,2,10.0,0,71.0,2023,13.75,4.75,17.75,2.736840664820703,1,16
10/4/2023,Aquinas College,0,4,41,18,145,0.159,40,1,6,9,68,0,17,0,8.5,1,50.0,2023,10.25,4.5,12.5,2.2222209876550068,-5,17
10/11/2023,Cornerstone,1,5,52,27,193,0.13,48,14,5,11,82,1,10,0,6.0,4,72.0,2023,10.4,5.4,14.4,1.7777771193418077,9,11
10/13/2023,Concordia (MI),1,4,60,23,172,0.215,53,7,8,5,80,3,8,1,7.0,0,74.0,2023,15.0,5.75,18.5,2.304346824197033,-1,11
10/14/2023,at Rochester,1,4,43,25,149,0.121,41,6,4,5,71,1,4,3,3.0,2,52.0,2023,10.75,6.25,13.0,1.6399993440002625,2,5
10/18/2023,Madonna,1,3,35,9,97,0.268,33,9,3,2,46,2,14,0,9.0,0,53.0,2023,11.666666666666666,3.0,17.666666666666668,3.6666625925971195,6,16
10/21/2023,at Siena Heights,0,5,64,17,159,0.296,60,7,11,10,79,2,20,1,12.0,1,83.0,2023,12.8,3.4,16.6,3.529409688582536,-4,22
10/25/2023,Lourdes,1,3,38,17,101,0.208,32,8,5,7,49,2,16,0,10.0,0,56.0,2023,12.666666666666666,5.666666666666667,18.666666666666668,1.882351833910686,3,18
10/27/2023,University of Northwestern Ohio,1,5,54,24,152,0.197,52,7,11,15,75,3,16,1,11.0,0,72.0,2023,10.8,4.8,14.4,2.1666657638892652,-4,19
10/28/2023,Indiana Tech,0,3,32,16,93,0.172,28,3,5,6,29,0,12,0,6.0,0,41.0,2023,10.666666666666666,5.333333333333333,13.666666666666666,1.7499989062506836,-2,12
11/1/2023,at Michigan-Dearborn,0,4,45,21,127,0.189,40,7,1,11,61,0,12,0,6.0,1,58.0,2023,11.25,5.25,14.5,1.9047609977328583,6,12
